Team,HomeAttack,AwayAttack,HomeDefense,AwayDefense
Arsenal,1.3379790940766552,1.375741512053515,0.7421431276031806,0.8222996515679444
Bolton,0.8800398208063713,0.8260759813202069,1.2337498422314779,1.1677451468392235
Everton,0.9895470383275261,0.8885523160419032,0.9264167613277798,0.9118964659034345
Hull,0.7243404678944748,0.6351129622617695,1.244478101729143,1.2049776007964161
Middlesbrough,0.5754106520657043,0.4505868989019311,0.9226303167991922,1.1338974614235937
Sunderland,0.7521707870139925,0.7724346838318817,1.025144796443547,1.109451910845639
West Ham,0.9413887506222002,0.9306765114224409,1.139877571626909,1.0492782478845197
Aston Villa,0.9042167389603926,0.9011737978038622,1.0820216007645012,1.0492782478845197
Chelsea,1.3021403683424588,1.3151583995961125,0.7396188312507889,0.754604280736685
Man United,1.2643106022896964,1.2343809163195758,0.7547646093651394,0.7645594823295172
Blackburn,0.8292682926829269,0.8260759813202069,0.9655433547898522,1.3708312593330017
Fulham,0.9015792569799539,0.7685334985600036,1.1508496552040663,1.0031223132268428
Liverpool,1.4056744649079143,1.4388489208633093,0.6739871260886028,0.8003982080637133
Newcastle,0.9951219512195122,0.8954520594051075,1.035634650174597,1.0808694209391072
Stoke,0.8394225983076158,0.6436955698599015,0.91404770920106,1.0560477849676455
Tottenham,1.1846689895470384,1.3101098068913288,0.8128234254701501,0.9118964659034345
West Brom,0.812344449975112,0.7466868610374857,1.1972737599394168,1.0458934793429566
Man City,1.6565455450472872,1.517102107787454,0.6790357187933863,0.6590343454454953
Wigan,0.7175709308113489,0.8067651142244099,1.218730278934747,1.2049776007964161
Portsmouth,0.8461921353907418,0.4720434178972611,1.3088476587151332,1.0492782478845197
Wolves,0.7784967645594824,0.8368042408178721,1.1457781143506247,1.0492782478845197
Birmingham,0.6431060228969637,0.7938912028272119,0.7509781648365518,1.1846689895470384
Burnley,0.6769537083125933,0.7676665684995863,1.134811449086345,1.109451910845639
Blackpool,1.01543056246889,1.0728259497665027,1.5877824056544239,1.3877551020408163
QPR,0.6769537083125933,0.7867390298287685,1.1014346417602758,1.3764725402356064
Swansea,0.8655336699139586,0.7785651178305475,1.0421737797731738,1.0299367133613027
Norwich,0.7164426746308279,0.5864781858723547,1.2730867937229162,1.3200597312095572
Reading,0.7784967645594824,0.8582607598132019,1.4161302536917835,1.3539074166251865
Southampton,0.8518334162933465,0.8582607598132019,1.1693802852454878,1.0605608096897297
Crystal Palace,0.7728554836568774,0.9333585762968571,1.0442172577727291,0.9844035175045628
Cardiff,0.6938775510204082,0.5364129748832513,1.5663258866590937,1.1846689895470384
Leicester,0.9612742658038825,1.1414868105515585,1.0213303041777102,1.0898954703832753
Bournemouth,0.871577899452464,0.9869998737851823,1.1801085447431527,1.2439024390243902
Watford,0.7728554836568774,0.7795868568303251,1.287391139719803,1.1395387423261987
Brighton,0.8504230960676954,0.9762716142875173,1.06746182001767,0.9858138377302141
Huddersfield,0.44001991040318567,0.5149564558879212,1.2015650637384827,1.3200597312095572
Sheffield United,0.6205408992865439,0.5578694938785813,1.4161302536917835,1.2072341131574582
Leeds,0.8236270117803219,1.1300433337540494,1.373217215701123,1.2974946075991374
Brentford,1.0662020905923346,1.0942824687618324,1.1586520257478228,0.9815828770532604
Nott'm Forest,0.9026049444167911,0.9297824897976356,1.001304219782069,1.2523643603782977
Luton,0.9477351916376306,1.0299129117758423,1.5877824056544239,1.624688899950224
Ipswich,0.4738675958188153,0.9440868357945222,1.8881736715890445,1.2862120457939274
